Repository,Topics
3D_Collaboration,"3d, 3d-model, 3d-print, agreement-document, business, collaboration, design, work, 3d-collaboration, 3d-pinting"
3D_Model_Imaging,"3d, 3d-model, 3d-modelling, 3d-models, images, pictures, 3d-model-software, 3d-modelling-software, 3d-printing, imaging, 3d-model-image, 3d-modeller, plugin, ruby, sketchup, sketchup-3d, sketchup-ruby"
3D_Printing,"3d, 3d-design, 3d-designing, 3d-model, 3d-modeling, 3d-models, 3d-print, 3d-printer, 3d-printing, 3d-printing-gcode"
3D_STL_Manager,"application, concept, concept-idea, database, file-data, file-management, file-management-system, management, metadata, metadata-management, 3d-stl, concept-app, concept-program, stl-manager"
4TRESS,"concept, design, fps, game, game-design, game-dev, game-development, gamer, games, gaming, idea, pvp, 4tress"
Abandoned_Locations,"abandoned, ai, artificial-intelligence, building, construction, custom-gpt, custom-gpts, gpt, gpt-store, gpts, house, houses, modernization, properties, abandoned-building, abandoned-house, chatgpt, places"
Activity_Balancer,"activities, activity, ai, chatgpt, custom-gpt, tool, travel, activity-blancer, travel-activities"
Advent_Money,"advent, android, app, calendar, christmas, gift, gifting, money, new"
Aerospace_Simulator,"aerospace, aerospace-engineering, aerospace-systems, ai, chatgpt, custom-gpt, planes, rockets, simulated, simulation, simulator, aerospace-simulator"
AGI,"agi, ai, artificial-intelligence, asi, computer-science, intelligence, intelligent, artificial-superintelligence, computer-intelligence"
AI,"ai, ai-generated, artificial, artificial-intelligence, future, history, human-ai, ai-human, human-created, agi, asi"
Airborne_Car_Deployment,"airborne, car, cars, flight-system, high-speed, racecar, road, roadway, airborne-vehicle-system, car-deployment, vehicle-deployment, action, concept, fast-and-furious, movie-idea, sci-fi, movie-cars"
Airplane_Contrails,"aircraft, airplane, airplanes, atmosphere, atmospheric-science, chem, chemical, chemistry, contrail, environment, chemtrail, wingtip-vortices"
Airplane_Design,"aerodynamics, aerospace, airplane, airplanes, concept, concept-design, designer, designs, engineering, info, information, notes, planes, research, plane-design, aviation"
Air_Bubble_Clock,"business, clock, company, design, design-concept, electronic, electronics, timer, air-bubble-clock, air-clock, bubble-clock"
Air_Vortex_Blower,"aerodynamics, air, blower, concept, concept-design, concept-idea, fan, fans, idea, product-design, science, air-blower, air-fan, air-vortex, air-vortex-blower, air-vortices, concept-plan, product-design-concept"
AI_Design_Contests,"ai, ai-art, ai-creation, ai-design, ai-image, artificial-intelligence, automotive-design, car-design, contest, house-design, industrial-design, product-design, ai-contest, ai-designer, aida, google, desall, omdena"
AI_Flipbook,"ai, art, artificial-intelligence, chatgpt, concept, concept-idea, design, drawing, flipbook, sketch, sketching, ai-concept, ai-flipbook"
Alex_Aldridge,"ai, alex-aldridge, artificial-intelligence, bot, canadian, chatbot, chatgpt, custom-gpt, designer, developer, gpt, gpt-builder, gpts, hacker, programmer, sourceduty, technologist, alex-aldridge-bot"
Algorithm_Generator,"ai, algorithm, algorithm-analysis, algorithms, artificial-intelligence, chatgpt, generator, openai, algorith-generator"
Alien_Life,"ai, alien, aliens, astrobiology, chatgpt, custom-gpt, outer-space, sci-fi, simulate, simulation, simulator, space, alien-life, extraterrestrial"
Amazon_Premium,"amazon, buyer, concept, idea, premium, prime, sales"
Ancient_Egypt,"ancient, ancient-egypt, ancient-egyptian, data, egypt, giza, knowledge, notes, opinion, research, ancient-construction, the-great-pyramid, ancient-evaluation"
Android_App_Simulator,"ai, android, android-app, android-studio, artificial-intelligence, chatgpt, simulation, simulator, android-simulator, app-simulation, app-simulator"
Animal_Product,"ai, animal, animals, artificial-intelligence, chatgpt, custom-gpt, custom-gpts, dall-e-3, gpt, openai, product-design, product-development, ai-animal, animal-product, insect, insects"
Animated_Plots,"ai, animated-chart, animated-graph, artificial-intelligence, chatgpt, custom-gpt, custom-gpts, gif, gifs, gpt-store, gpts, math-tool, python, python-ai, python-tool, ai-animation, chart-gif, data-animation, animated-data"
Apple_II_Simulator,"ai, antique, apple, apple-ii, computer, ios, mac, macos, old-computer, retro, simulator, vintage, apple-2, apple-computer"
Archcraft_Apps,"applications, apps, archcraft, install, installation, linux"
Archcraft_Python,"archcraft, archlinux, linux, python, python3, how-to, install, instructions"
Architectural_Software_Design,"ai, ai-software, artificial-intelligence, chatgpt, custom-gpt, gpt, gpts, openai, software, software-architecture, software-architecture-and-design, software-development, software-engineering, software-ai, software-simulator"
Architecture_Diagram,"ai, ai-design, architectural, architecture, chatgpt, custom-gpt, design, diagram, layout, plain-text, text, ai-diagram, ai-layout, building-diagram, property-diagram, text-diagram"
ArduinoTarget,"arduino, firearm, shooting, sports, target, uno"
Artificial_Group_Chat,"adviser, ai, ai-chat, chat, chatbot, concept, group-chat, idea, ai-adviser, chatgpt, artificial-intelligence, chatgpt-bot, custom-gpts, customgpts, gptstore, chattting, group-chatting"
Artificial_Superintelligence,"ai, artificial-intelligence, artificial-super-intelligence, asi, chatgpt, custom-gpt, gpt, openai, artificial-superintelligence"
Artist_Radar,"ai-art, ai-artist, art, artificial-intelligence, artist, artist-tool, artistic, artists, chatgpt, custom-gpts, gpt-store, gpts, gptstore, openai, up-and-coming, artist-research, cuustom-gpt"
